  stack_id   log_mass   logR3   logR3_err   logO32   logO32_err   logNe3O2   logNe3O2_err   logZg/Zsun   logZg/Zsun_err   logZ*/Zsun   logZ*/Zsun_err  
     Low-M       9.23    0.78        0.15     0.54         0.09       1.02           0.15        -0.46             0.05        -0.95             0.05  
    High-M       9.68    0.57        0.09     0.36         0.07       0.85           0.08        -0.32             0.04        -0.77             0.08  
